"Device","Site","Status","IP Address","Availability","CPU/Memory","CPU AVG","Memory AVG","Tags","Vendor","Type","Version","Description"
"ackcrwcrt002","NEW ZEALAND","Critical","10.193.199.159","Critical","N/A","","","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"limcrwcrt001","Limerick","Critical","10.193.166.222","Critical","N/A","","","","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], c8000be Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 19"
"limcrwcrt002","Limerick","Critical","10.193.166.223","Critical","N/A","","","","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], c8000be Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 19"
"sn8crwcrt003","Shelby TWP","Critical","10.193.33.56","Critical","N/A","","","","Viptela","Router","20.3.3","Viptela SNMP agent"
"sn8crwcrt004","Shelby TWP","Critical","10.193.33.57","Critical","N/A","","","","Viptela","Router","20.3.3","Viptela SNMP agent"
"stgcrwcrt002","Chile HQ","Critical","10.193.66.95","Good","Good","8","3","","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 1986-2"
"bwgcrwcrt004","Bowling Green Assembly","Warning","10.193.1.249","Good","Warning","99","37","GMNA","Viptela","Router","20.3.3","Viptela SNMP agent"
"mmccrwcrt004","Marion M&amp;L","Warning","10.193.15.121","Good","Warning","99","37","","Viptela","Router","20.3.3","Viptela SNMP agent"
"ptdcrwcrt003","Defiance PT","Warning","10.193.5.120","Good","Warning","99","37","GMNA","Viptela","Router","20.3.3","Viptela SNMP agent"
"soocrwcrt003","6th of October City Giza","Warning","10.228.1.52","Good","Warning","99","32","GME","Viptela","Router","20.3.3","Viptela SNMP agent"
"BPHINSCSV001","Unspecified","Good","10.156.244.7","Good","Good","0","19","","Cisco","Router","9.8(4)39","Cisco Adaptive Security Appliance Version 9.8(4)39"
"DCMINSCSV001","Unspecified","Good","10.29.128.23","Good","Good","1","21","","Cisco","Router","9.8(4)39","Cisco Adaptive Security Appliance Version 9.8(4)39"
"DCMINSCSV002","Unspecified","Good","10.29.128.24","Good","Good","0","19","","Cisco","Router","9.8(4)39","Cisco Adaptive Security Appliance Version 9.8(4)39"
"DCWINSCSV001","Unspecified","Good","10.28.128.23","Good","Good","0","21","","Cisco","Router","9.8(4)39","Cisco Adaptive Security Appliance Version 9.8(4)39"
"DCWINSCSV002","Unspecified","Good","10.28.128.24","Good","Good","0","21","","Cisco","Router","9.8(4)39","Cisco Adaptive Security Appliance Version 9.8(4)39"
"GM-vSmart-East","Cisco SDWAN Cloud","Good","10.0.4.118","Good","Good","0","23","","Viptela","Router","20.6.3.0.8","Viptela SNMP agent"
"GM-vSmart-West","Cisco SDWAN Cloud","Good","10.0.1.197","Good","Good","0","24","","Viptela","Router","20.6.3.0.8","Viptela SNMP agent"
"GMAINBAN01-LCR05","Bangalore RHC","Good","10.255.0.1","Good","Good","5","20","","Cisco","Router","15.4(3)S6","Cisco IOS Software, ASR1000 Software (PPC_LINUX_IOSD-ADVENTERPRISEK9-M), Version 15.4(3)S6a, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2016 by Cisco Systems, Inc.
Compiled Tue 27-Sep-16 22:08 by mcpre"
"GMAINBAN01-LCR06","Bangalore RHC","Good","10.255.0.2","Good","Good","5","20","","Cisco","Router","15.4(3)S6","Cisco IOS Software, ASR1000 Software (PPC_LINUX_IOSD-ADVENTERPRISEK9-M), Version 15.4(3)S6a, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2016 by Cisco Systems, Inc.
Compiled Tue 27-Sep-16 22:08 by mcpre"
"LMRINSCSV001","Unspecified","Good","10.68.65.197","Good","Good","1","19","","Cisco","Router","9.8(4)39","Cisco Adaptive Security Appliance Version 9.8(4)39"
"Live Agent","Unspecified","Good","10.14.127.240","Good","Good","","","","Non-SNMP","Non-SNMP","",""
"PDGINSCSV001","Unspecified","Good","10.148.193.195","Good","Good","0","20","","Cisco","Router","9.8(4)39","Cisco Adaptive Security Appliance Version 9.8(4)39"
"PDGINSCSV002","Unspecified","Good","10.148.193.196","Good","Good","0","19","","Cisco","Router","9.8(4)39","Cisco Adaptive Security Appliance Version 9.8(4)39"
"SW2INSCSV001","Unspecified","Good","10.147.93.199","Good","Good","0","20","","Cisco","Router","9.8(4)39","Cisco Adaptive Security Appliance Version 9.8(4)39"
"SW2INSCSV002","Unspecified","Good","10.147.93.200","Good","Good","0","20","","Cisco","Router","9.8(4)39","Cisco Adaptive Security Appliance Version 9.8(4)39"
"abacrwcrt001","Toledo Powertrain","Good","10.193.10.158","Good","Good","1","5","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"abacrwcrt002","Toledo Powertrain","Good","10.193.10.159","Good","Good","1","5","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"abacrwcrt003","Toledo Powertrain","Good","10.193.10.184","Good","Good","30","36","","Viptela","Router","20.3.3","Viptela SNMP agent"
"abacrwcrt004","Toledo Powertrain","Good","10.193.10.185","Good","Good","28","36","","Viptela","Router","20.3.3","Viptela SNMP agent"
"ackcrwcrt001","NEW ZEALAND","Good","10.193.199.158","Good","Good","1","5","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"ackcrwcrt003","NEW ZEALAND","Good","10.193.199.184","Good","Good","11","37","","Viptela","Router","20.3.3","Viptela SNMP agent"
"ackcrwcrt004","NEW ZEALAND","Good","10.193.199.185","Good","Good","13","34","","Viptela","Router","20.3.3","Viptela SNMP agent"
"acrcrwcrt001","GMCH Rochester","Good","10.193.9.94","Good","Good","1","5","MFG, GMCH, GMNA","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"acrcrwcrt002","GMCH Rochester","Good","10.193.9.95","Good","Good","1","5","MFG, GMCH, GMNA","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"acrcrwcrt003","GMCH Rochester","Good","10.193.9.120","Good","Good","23","35","MFG, GMCH, GMNA","Viptela","Router","20.3.3","Viptela SNMP agent"
"acrcrwcrt004","GMCH Rochester","Good","10.193.9.121","Good","Good","20","35","MFG, GMCH, GMNA","Viptela","Router","20.3.3","Viptela SNMP agent"
"aiccrwcrt001","Austin IC","Good","10.193.26.94","Good","Good","3","12","cEdge, CORP, GMNA","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], ASR1000 Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 19"
"aiccrwcrt002","Austin IC","Good","10.193.26.95","Good","Good","3","12","cEdge, CORP, GMNA","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], ASR1000 Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 19"
"aklcrwcrt001","NZ Dealer training site","Good","10.193.214.94","Good","Good","1","4","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"aklcrwcrt002","NZ Dealer training site","Good","10.193.214.95","Good","Good","1","5","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"aklcrwcrt003","NZ Dealer training site","Good","10.193.214.120","Good","Good","13","38","","Viptela","Router","20.3.3","Viptela SNMP agent"
"aklcrwcrt004","NZ Dealer training site","Good","10.193.214.121","Good","Good","14","36","","Viptela","Router","20.3.3","Viptela SNMP agent"
"alzcrwcrt001","Calgary Ab Zone Office","Good","10.193.3.30","Good","Good","6","3","cEdge","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 1986-2"
"alzcrwcrt002","Calgary Ab Zone Office","Good","10.193.3.31","Good","Good","6","3","cEdge","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 1986-2"
"apkcrwcrt001","Airpark CCA Office","Good","10.193.0.94","Good","Good","6","3","cEdge","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 1986-2"
"apkcrwcrt002","Airpark CCA Office","Good","10.193.0.95","Good","Good","6","3","cEdge","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 1986-2"
"arlcrwcrt001","Arlington Assembly","Good","10.193.0.222","Good","Good","1","5","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"arlcrwcrt002","Arlington Assembly","Good","10.193.0.223","Good","Good","1","5","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"arlcrwcrt003","Arlington Assembly","Good","10.193.0.248","Good","Good","23","36","MFG, GMNA","Viptela","Router","20.3.3","Viptela SNMP agent"
"arlcrwcrt004","Arlington Assembly","Good","10.193.0.249","Good","Good","16","36","","Viptela","Router","20.3.3","Viptela SNMP agent"
"aurcrwcrt001","Denver CCA PDC","Good","10.193.5.158","Good","Good","12","7","","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], c8000be Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 19"
"aurcrwcrt002","Denver CCA PDC","Good","10.193.5.159","Good","Good","12","7","","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], c8000be Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 19"
"avscrwcrt001","Madison Heights","Good","10.193.14.158","Good","Good","1","5","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"avscrwcrt002","Madison Heights","Good","10.193.14.159","Good","Good","1","5","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"avscrwcrt003","Madison Heights","Good","10.193.14.184","Good","Good","14","32","GMNA","Viptela","Router","20.3.3","Viptela SNMP agent"
"avscrwcrt004","Madison Heights","Good","10.193.14.185","Good","Good","14","33","","Viptela","Router","20.3.3","Viptela SNMP agent"
"awhcrwcrt001","Luton AWH","Good","10.193.164.222","Good","Good","3","3","","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 1986-2"
"awhcrwcrt002","Luton AWH","Good","10.193.164.223","Good","Good","6","3","","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 1986-2"
"bakcrwcrt001","THAILAND - BANGKOK","Good","10.193.207.158","Good","Good","1","4","GMIO","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"bakcrwcrt002","THAILAND - BANGKOK","Good","10.193.207.159","Good","Good","1","4","GMIO","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"bakcrwcrt003","THAILAND - BANGKOK","Good","10.193.207.184","Good","Good","13","40","GMIO","Viptela","Router","20.3.3","Viptela SNMP agent"
"bakcrwcrt004","THAILAND - BANGKOK","Good","10.193.207.185","Good","Good","13","39","GMIO","Viptela","Router","20.3.3","Viptela SNMP agent"
"bapcrwcrt001","Brownstown Battery Plant","Good","10.193.2.94","Good","Good","1","5","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"bapcrwcrt002","Brownstown Battery Plant","Good","10.193.2.95","Good","Good","1","5","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"bapcrwcrt003","Brownstown Battery Plant","Good","10.193.2.120","Good","Good","36","36","","Viptela","Router","20.3.3","Viptela SNMP agent"
"bapcrwcrt004","Brownstown Battery Plant","Good","10.193.2.121","Good","Good","18","36","","Viptela","Router","20.3.3","Viptela SNMP agent"
"bascrwcrt001","Busan AS Center","Good","10.193.201.30","Good","Good","1","5","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"bascrwcrt002","Busan AS Center","Good","10.193.201.31","Good","Good","1","5","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"bascrwcrt003","Busan AS Center","Good","10.193.201.56","Good","Good","13","39","","Viptela","Router","20.3.3","Viptela SNMP agent"
"bascrwcrt004","Busan AS Center","Good","10.193.201.57","Good","Good","13","38","","Viptela","Router","20.3.3","Viptela SNMP agent"
"bbicrwcrt001","Chicago-PDC","Good","10.193.4.30","Good","Good","11","7","CCA, GMNA","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], c8000be Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 19"
"bbicrwcrt002","Chicago-PDC","Good","10.193.4.31","Good","Good","14","7","CCA, GMNA","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], c8000be Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 19"
"bcvcrwcrt001","Bucheon VTC","Good","10.193.200.158","Good","Good","1","5","Corp, GMIO","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"bcvcrwcrt002","Bucheon VTC","Good","10.193.200.159","Good","Good","1","5","Corp, GMIO","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"bcvcrwcrt003","Bucheon VTC","Good","10.193.200.184","Good","Good","6","62","KOR, GMIO","Viptela","Router","20.3.3","Viptela SNMP agent"
"bcvcrwcrt004","Bucheon VTC","Good","10.193.200.185","Good","Good","6","62","KOR, GMIO","Viptela","Router","20.3.3","Viptela SNMP agent"
"bczcrwcrt001","Vancouver BC Zone Office","Good","10.193.21.158","Good","Good","6","5","CCA, GMNA","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 1986-2"
"bczcrwcrt002","Vancouver BC Zone Office","Good","10.193.21.159","Good","Good","5","3","CCA, GMNA","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 1986-2"
"bgacpwdhb001","Bangalore RHC","Good","10.193.196.56","Good","Good","6","69","","Viptela","Router","20.3.3","Viptela SNMP agent"
"bgacpwdhb002","Bangalore RHC","Good","10.193.196.57","Good","Good","9","69","","Viptela","Router","20.3.3","Viptela SNMP agent"
"bgacrwcrt001","Bangalore RHC","Good","10.193.196.30","Good","Good","2","60","CNE_GMIO","Cisco","Router","15.4(3)S2","Cisco IOS Software, ASR1000 Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 15.4(3)S2, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2015 by Cisco Systems, Inc.
Compiled Fri 30-Jan-15 14:23 by mcpre"
"bgacrwcrt002","Bangalore RHC","Good","10.193.196.31","Good","Good","2","63","CNE_GMIO","Cisco","Router","15.4(3)S2","Cisco IOS Software, ASR1000 Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 15.4(3)S2, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2015 by Cisco Systems, Inc.
Compiled Fri 30-Jan-15 14:23 by mcpre"
"bgrcrwcrt001","BEIJING OFFICE","Good","10.193.194.222","Good","Good","1","4","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"bgrcrwcrt002","BEIJING OFFICE","Good","10.193.194.223","Good","Good","1","4","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"bgtcrwcrt001","Bogota Contact Center","Good","10.193.73.30","Good","Good","0","16","OnStar","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"bgtcrwcrt002","Bogota Contact Center","Good","10.193.73.31","Good","Good","1","4","OnStar","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"bgtcrwcrt003","Bogota Contact Center","Good","10.193.73.56","Good","Good","14","45","","Viptela","Router","20.3.3","Viptela SNMP agent"
"bgtcrwcrt004","Bogota Contact Center","Good","10.193.73.57","Good","Good","20","44","","Viptela","Router","20.3.3","Viptela SNMP agent"
"bjscrwcrt001","Beijing Facility","Good","10.193.212.222","Good","Good","1","4","Corp, GMIO","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"bjscrwcrt002","Beijing Facility","Good","10.193.212.223","Good","Good","1","4","Corp, GMIO","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
"blxcrwcrt001","North Hollywood","Good","10.193.16.222","Good","Good","6","4","Corp, cEdge, GMNA","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 1986-2"
"blxcrwcrt002","North Hollywood","Good","10.193.16.223","Good","Good","6","3","Corp, cEdge, GMNA","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 1986-2"
"bogcrwcrt001","BOGOTA GMISCO Office","Good","10.193.64.158","Good","Good","6","3","","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 1986-2"
"bogcrwcrt002","BOGOTA GMISCO Office","Good","10.193.64.159","Good","Good","6","3","","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 1986-2"
"borcrwcrt001","Boryeong Plant","Good","10.193.200.94","Good","Good","1","4","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
